#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
2277	GRID- 104-R3C2	Niemann Pick type C1	Mus musculus Niemann Pick type C1 (Npc1),  mRNA	Niemann Pick type C1	BG079578 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079578>	Npc1	3484	18145	
2278	GRID- 104-R3C4	chorionic somatomammotropin hormone 2	Mus musculus placental lactogen 2  (Pl2), mRNA	placental lactogen 2	BG079872 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079872>	Csh2	37203	18776	
2279	GRID- 104-R3C5	Transcribed sequences		expressed sequence C81543	BG067061 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067061>		172902	98158	
2280	GRID- 104-R4C1	Transcribed sequences		no value	BG067409 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067409>		no value	-	
2281	GRID- 104-R4C3	F-box and leucine-rich repeat protein 11	Homo sapiens F-box protein Lilina  (LILINA) mRNA, complete cds	ESTs, Highly similar to KIAA1004 protein [H.sapiens]	BG067781 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067781>	Fbxl11	25350	30842	
2282	GRID- 104-R4C4	Transcribed sequences		no value	BG068133 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068133>		no value	-	
2283	GRID- 104-R4C5			no value	BG068489 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068489>		no value	-	
2284	GRID- 104-R5C1	autophagy 12-like (S. cerevisiae)		autophagy 12-like (S. cerevisiae)	BG068862 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068862>	Apg12l	9852	67526	
2285	GRID- 104-R5C2	Adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530001M19 product:unknown EST, full insert sequence		RIKEN cDNA 9130023F12 gene	BG069227 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069227>		190602	75762	
2286	GRID- 104-R5C3	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		ESTs	BG069602 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069602>		173422	-	
2287	GRID- 104-R5C4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Mus musculus inducible  6-phosphofructo-2-kinase mRNA, complete cds	inducible 6-phosphofructo-2-kinase	BG070045 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070045>	Pfkfb3	19669	170768	
2288	GRID- 104-R5C5	nuclease sensitive element binding protein 1	Mouse Y box transcription factor  (MSY-1) mRNA, complete cds	nuclease sensitive element binding protein 1	BG083245 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083245>	Nsep1	21054	22608	
2289	GRID- 105-R1C1	RIKEN cDNA 2610204K14 gene	Homo sapiens cDNA: FLJ23442  fis, clone HSI00956	no value	BG076565 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076565>	2610204K14Rik	195676	67148	
2290	GRID- 105-R1C2	replication protein A2	Mus musculus replication protein A2  (Rpa2), mRNA	expressed sequence AA409079	AA409079 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA409079>	Rpa2	200680	99984	
2291	GRID- 105-R1C3	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	Human mRNA for KIAA0178 gene,  partial cds	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	AW538626 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW538626>	Smc1l1	26412	24061	
2292	GRID- 105-R1C4	arginyl aminopeptidase (aminopeptidase B)	Homo sapiens partial mRNA for  aminopeptidase B (APB gene)	no value	BG077324 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077324>	Rnpep	29706	215615	
2293	GRID- 105-R1C5	RIKEN cDNA 1810009A16 gene	Homo sapiens mRNA; cDNA  DKFZp564B122 (from clone DKFZp564B122)	RIKEN cDNA 1810009A16 gene	BG077554 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077554>	1810009A16Rik	21458	69116	
2294	GRID- 105-R2C1		Mus musculus RAB23, member RAS oncogene  family (Rab23), mRNA	RAB23, member RAS oncogene family	BG077872 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077872>		86744	19335	
2295	GRID- 105-R2C3	cartilage homeo protein 1	Homo sapiens cartilage paired-class  homeoprotein 1 (CART1), mRNA	cartilage homeo protein 1	BG078271 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078271>	Cart1	200371	12358	
2296	GRID- 105-R2C4	A kinase (PRKA) anchor protein 8	Rattus norvegicus AKAP95 mRNA, partial  cds	expressed sequence AI450287	BG065344 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065344>	Akap8	200919	102913	
2297	GRID- 105-R2C5	Transcribed sequence with weak similarity to protein ref:NP_082881.1 (M.musculus) RIKEN cDNA 2410116I05 [Mus musculus]		ESTs	BG065681 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065681>		24910	-	
2298	GRID- 105-R3C1			DNA segment, Chr 5, ERATO Doi 66, expressed	BG066020 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066020>		154718	52075	
2299	GRID- 105-R3C2	BCL2-associated athanogene 4	Homo sapiens BCL2-associated  athanogene 4 (BAG4), mRNA	BCL2-associated athanogene 4	BG066354 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066354>	Bag4	27102	67384	
2300	GRID- 105-R3C4	Adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530061A19 product:unknown EST, full insert sequence		ESTs	C80078 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C80078>		25061	-	
2301	GRID- 105-R3C5	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	Homo sapiens cDNA FLJ13303 fis,  clone OVARC1001372, highly similar to Homo sapiens  liprin-alpha4 mRNA	no value	BG080124 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080124>	Ppfia4	25287	68507	
2302	GRID- 105-R4C1	tropomodulin 2	Mus musculus neural tropomodulin  N-Tmod mRNA, complete cds	tropomodulin 2	BG067399 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067399>	Tmod2	44216	50876	
2303	GRID- 105-R4C3	16 days neonate heart cDNA, RIKEN full-length enriched library, clone:D830017E01 product:protein kinase, cGMP-dependent, type I, full insert sequence		no value	BG067772 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067772>		no value	-	
2304	GRID- 105-R4C4	Transcribed sequences		DNA segment, Chr 3, ERATO Doi 508, expressed	BG068122 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068122>		131740	51904	
2305	GRID- 105-R4C5	Transcribed sequence with weak similarity to protein sp:P11369 (M.musculus) POL2_MOUSE Retrovirus-related POL polyprotein [Contains: Reverse transcriptase ; Endonuclease]		ESTs	AU023004 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU023004>		26358	-	
2306	GRID- 105-R5C1	RIKEN cDNA 9130020K17 gene	Homo sapiens hypothetical protein  FLJ10890 (FLJ10890), mRNA	RIKEN cDNA 9130020K17 gene	BG081876 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081876>	9130020K17Rik	5231	74569	
2307	GRID- 105-R5C2	Transcribed sequences		DNA segment, Chr 1, ERATO Doi 811, expressed	AU018403 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU018403>		26109	51945	
2308	GRID- 105-R5C3	RIKEN cDNA 0610025L06 gene		RIKEN cDNA 0610025L06 gene	BG069591 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069591>	0610025L06Rik	21687	67803	
2309	GRID- 105-R5C4	RIKEN cDNA 5730461K03 gene	Homo sapiens suppressor of S.  cerevisiae gcr2 (HSGT1), mRNA	RIKEN cDNA 5730461K03 gene	BG082894 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082894>	5730461K03Rik	35105	70601	
2310	GRID- 105-R5C5	THO complex 1	Homo sapiens nuclear matrix protein p84  (P84), mRNA	ubiquitin specific protease 14	AU015569 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU015569>	Thoc1	25149	-	
2311	GRID- 106-R1C1	splicing factor, arginine/serine-rich 7	Homo sapiens splicing factor,  arginine/serine-rich 7 (SFRS7) gene, complete cds	Mus musculus, clone MGC:36924 IMAGE:4945988, mRNA, complete cds	AA409665 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA409665>	Sfrs7	29915	225027	
2312	GRID- 106-R1C2			no value	BG063348 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063348>		no value	-	
2313	GRID- 106-R1C3	erythrocyte protein band 4.1-like 1	Mus musculus erythrocyte protein band  4.1-like 1 (Epb4.1l1), mRNA	erythrocyte protein band 4.1-like 1	BG077057 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077057>	Epb4.1l1	20852	13821	
2314	GRID- 106-R1C4	Similar to hypothetical protein FLJ32468 (LOC231891), mRNA		ESTs	BG063983 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063983>		26068	-	
2315	GRID- 106-R1C5	RIKEN cDNA 2310016K04 gene	Homo sapiens hypothetical protein  FLJ20399 (FLJ20399), mRNA	RIKEN cDNA 2310016K04 gene	BG077654 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077654>	2310016K04Rik	17359	66369	
2316	GRID- 106-R2C1	general transcription factor III A	Mus musculus RNA polymerase 1-3 (16 kDa  subunit) (Rpo1-3), mRNA	RNA polymerase 1-3 (16 kDa subunit)	BG077882 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077882>	Gtf3a	34570	20018	
2317	GRID- 106-R2C3	SEC23A (S. cerevisiae)		SEC23A (S. cerevisiae)	BI076477 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BI076477>	Sec23a	24426	20334	
2318	GRID- 106-R2C4	cell division cycle 20 homolog (S. cerevisiae)	Mus musculus mmCdc20 mRNA,  complete cds	cell division cycle 20 homolog (S. cerevisiae)	BG078638 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078638>	Cdc20	29931	107995	
2319	GRID- 106-R2C5	DNA segment, Chr 4, ERATO Doi 22, expressed	Homo sapiens mRNA; cDNA  DKFZp566C0424 (from clone DKFZp566C0424); partial cds	DNA segment, Chr 4, ERATO Doi 22, expressed	BG065691 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065691>	D4Ertd22e	174695	52069	
2320	GRID- 106-R3C1	Transcribed sequences		ESTs	BG066032 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066032>		5650	-	
2321	GRID- 106-R3C2	ADP-ribosylation factor-like 10C	Homo sapiens hypothetical protein  FLJ10702 (FLJ10702), mRNA	RIKEN cDNA 2610313E07 gene	BG079579 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079579>	Arl10c	175302	67166	
2322	GRID- 106-R3C4	Transcribed sequences		ESTs	BG066715 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066715>		172815	-	
2323	GRID- 106-R3C5	Adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230020K11 product:unknown EST, full insert sequence		ESTs	BG067062 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067062>		121045	-	
2324	GRID- 106-R4C1	folate receptor 4 (delta)	Mus musculus folate receptor 3  (Folbp3) mRNA, complete cds	folate receptor 4 (delta)	BG080476 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080476>	Folr4	195505	64931	
2325	GRID- 106-R4C3	RIKEN cDNA 1110008L16 gene	Homo sapiens KIAA0391 gene product  (KIAA0391), mRNA	RIKEN cDNA 1110008L16 gene	BG067782 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067782>	1110008L16Rik	25489	66132	
2326	GRID- 106-R4C4	Transcribed sequences		DNA segment, Chr 4, ERATO Doi 510, expressed	BG068134 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068134>		154726	52134	
2327	GRID- 106-R4C5	RIKEN cDNA 4732452J19 gene		ESTs, Weakly similar to T08729 RING zinc finger protein homolog DKFZp566H073.1 [H.sapiens]	BG068490 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068490>	4732452J19Rik	174365	-	
2328	GRID- 106-R5C1	ecotropic viral integration site 5	Mus musculus ecotropic viral integration  site 5 (Evi5), mRNA	ecotropic viral integration site 5	BG081888 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081888>	Evi5	35796	14020	
2329	GRID- 106-R5C2	serine/threonine kinase 25 (yeast)	Mus musculus serine/threonine kinase 25  (Ste20, yeast homolog) (Stk25), mRNA	serine/threonine kinase 25 (yeast)	BG069228 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069228>	Stk25	28761	59041	
2330	GRID- 106-R5C3	CXORF15		no value	BG069603 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069603>	4932441K18	86594	19648	
2331	GRID- 106-R5C4	Transcribed sequences		ESTs	BG070046 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070046>		173464	-	
2332	GRID- 106-R5C5	RIKEN cDNA 6330404A07 gene		RIKEN cDNA 6330404A07 gene	BG070326 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070326>	6330404A07Rik	11014	70754	
2333	GRID- 107-R1C1	ladinin	Mus cookii linear IgA disease antigen  homolog (Lad) mRNA, complete cds	ladinin	BG076566 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076566>	Lad1	36726	16763	
2334	GRID- 107-R1C2	surfeit gene 4	Mouse surfeit locus surfeit 3 gene,  exon 8, and surfeit 1 and 2 genes, complete cds	surfeit gene 4	AA409081 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA409081>	Surf4	2795	20932	
2335	GRID- 107-R1C3	PRP19/PSO4 homolog (S. cerevisiae)	Homo sapiens nuclear matrix protein  NMP200 related to splicing factor PRP19 (NMP200), mRNA	expressed sequence AA617263	BG077050 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077050>	Prp19	29835	106859	
2336	GRID- 107-R1C4	Hspb associated protein 1	Rattus norvegicus protein  associating with small stress protein PASS1 (Pass1) mRNA,  complete cds	RIKEN cDNA 3830421G21 gene	AW541442 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW541442>	Hspbap1	45272	66667	
2337	GRID- 107-R1C5	tropomodulin 3	Mus musculus tropomodulin 3 (Tmod3), mRNA	tropomodulin 3	BG077555 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077555>	Tmod3	38445	50875	
2338	GRID- 107-R2C1	DNA segment, Chr 8, ERATO Doi 812, expressed	Human RSU-1/RSP-1 mRNA, complete cds	adaptor protein complex AP-2, mu1	BG064625 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064625>	D8Ertd812e	18946	-	
2339	GRID- 107-R2C3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	BG064979 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064979>	Galnt10	11360	171212	
2340	GRID- 107-R2C4	CDNA clone MGC:67360 IMAGE:6823629, complete cds	Mus musculus lysosomal  alpha-mannosidase (Man2b) gene, exon 1	Mus musculus 13 days embryo liver cDNA, RIKEN full-length enriched library, clone:2510002P07:mannosidase 2, alpha B1, full insert sequence	AW537305 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW537305>		35790	-	
2341	GRID- 107-R2C5	RIKEN cDNA 1110018O08 gene	Homo sapiens cDNA FLJ14217 fis,  clone NT2RP3003680, highly similar to Homo sapiens mRNA;  cDNA DKFZp434J154 (from clone DKFZp434J154)	RIKEN cDNA 2510001I10 gene	BG078956 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078956>	1110018O08Rik	140548	76581	
2342	GRID- 107-R3C1	interferon alpha responsive gene	Mus musculus interferon alpha responsive  protein (15 kDa) (Ifrg15), mRNA	interferon alpha responsive gene, 15 kDa	BG079287 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079287>	Ifrg15	21761	64164	
2343	GRID- 107-R3C2	cDNA sequence BC023106	Homo sapiens cDNA FLJ20844 fis,  clone ADKA01904	Mus musculus, Similar to chromosome 22 open reading frame 4, clone MGC:28337 IMAGE:4016550, mRNA, complete cds	C78929 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C78929>	BC023106	28904	223754	
2344	GRID- 107-R3C4	Transcribed sequences		expressed sequence AL023051	BG066704 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066704>		181064	100782	
2345	GRID- 107-R3C5			no value	BG067051 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067051>		no value	-	
2346	GRID- 107-R4C1	DNA segment, Chr 17, ERATO Doi 441, expressed		DNA segment, Chr 17, ERATO Doi 441, expressed	BG067400 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067400>	D17Ertd441e	34546	52009	
2347	GRID- 107-R4C3	3-oxoacid CoA transferase	Human succinyl CoA:3-oxoacid CoA  transferase precursor (OXCT) mRNA, complete cds	3-oxoacid CoA transferase	BG080833 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080833>	Oxct	13445	67041	
2348	GRID- 107-R4C4			ESTs, Weakly similar to B21124 Bkm-like sex-determining region hypothetical protein CS314 - fruit fly [D.melanogaster]	BG068123 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068123>		173496	-	
2349	GRID- 107-R4C5	DNA segment, Chr 5, ERATO Doi 593, expressed		DNA segment, Chr 5, ERATO Doi 593, expressed	BG068479 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068479>	D5Ertd593e	21965	52331	
2350	GRID- 107-R5C1	ring finger protein 38	Homo sapiens cDNA: FLJ21813 fis,  clone HEP01047	RIKEN cDNA 2610202O07 gene	BG068852 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068852>	Rnf38	27834	70440	
2351	GRID- 107-R5C2	Transcribed sequences		ESTs	BG069217 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069217>		22301	-	
2352	GRID- 107-R5C3	RIKEN cDNA 0610025L06 gene		RIKEN cDNA 0610025L06 gene	BG069592 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069592>	0610025L06Rik	21687	67803	
2353	GRID- 107-R5C4	Moloney sarcoma oncogene	Mus musculus Moloney sarcoma oncogene  (Mos), mRNA	Moloney sarcoma oncogene	BG082895 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082895>	Mos	26262	17451	
2354	GRID- 107-R5C5			no value	BG070315 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070315>		27700	-	
2355	GRID- 108-R1C1	EH-domain containing 1	Mus musculus EH domain-containing  protein EHD1 mRNA, complete cds	EH-domain containing 1	BG063097 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063097>	Ehd1	30169	13660	
2356	GRID- 108-R1C2	RIKEN cDNA D530033C11 gene		no value	BG063349 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063349>	D530033C11Rik	196555	78581	
2357	GRID- 108-R1C3	ADP-ribosylhydrolase like 2	Rat PMSG-induced ovarian mRNA,  3'sequence, N3	expressed sequence AI836109	BG077058 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077058>	Adprhl2	11285	100206	
2358	GRID- 108-R1C4	DNA segment, Chr 5, ERATO Doi 33, expressed		RIKEN cDNA 1810014G04 gene	BG063984 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063984>	D5Ertd33e	182383	52064	
2359	GRID- 108-R1C5	prolactin-like protein M	Mus musculus prolactin-like protein M  (Prlpm), mRNA	prolactin-like protein M	BG077655 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077655>	Prlpm	23585	56635	
2360	GRID- 108-R2C1	TRIO and F-actin binding protein	Homo sapiens putative nuclear protein  (HRIHFB2122), mRNA	Mus musculus, clone IMAGE:3491252, mRNA, partial cds	BG077883 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077883>	Triobp	27268	27596	
2361	GRID- 108-R2C3	Transcribed sequence with strong similarity to protein sp:P48728 (H.sapiens) GCST_HUMAN Aminomethyltransferase, mitochondrial precursor		ESTs, Moderately similar to GCST_HUMAN AMINOMETHYLTRANSFERASE, MITOCHONDRIAL PRECURSOR [H.sapiens]	BG064989 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064989>		100588	21399	
2362	GRID- 108-R2C4	ribosomal protein L30	Mouse ribosomal protein L30 gene,  complete cds	ribosomal protein L30	BG078639 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078639>	Rpl30	3487	19946	
2363	GRID- 108-R2C5	Transcribed sequences		no value	C76512 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C76512>		no value	-	
2364	GRID- 108-R3C1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	Homo sapiens DiGeorge syndrome  critical region, telomeric end	RIKEN cDNA 1300019P08 gene	BG079299 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079299>	Slc25a1	22679	68443	
2365	GRID- 108-R3C2	Transcribed sequences		no value	BG066366 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066366>		no value	-	
2366	GRID- 108-R3C4	Transcribed sequences		ESTs	BG066716 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066716>		172816	-	
2367	GRID- 108-R3C5	zinc finger protein (C2H2 type) 276	Mus musculus zinc finger protein (C2H2  type) 276 (Zfp276), mRNA	DNA segment, Chr 8, ERATO Doi 377, expressed	BG080137 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080137>	Zfp276	155525	52309	
2368	GRID- 108-R4C1	DNA segment, Chr 5, ERATO Doi 110, expressed		no value	BG067411 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067411>	D5Ertd110e	25799	100855	
2369	GRID- 108-R4C3			expressed sequence C87487	BG067783 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067783>		25490	98087	
2370	GRID- 108-R4C4	Transcribed sequences		no value	BG068135 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068135>		no value	-	
2371	GRID- 108-R4C5			ESTs	BG068491 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068491>		11919	-	
2372	GRID- 108-R5C1	RAS p21 protein activator 2	Homo sapiens RAS p21 protein activator 2  (RASA2), mRNA	expressed sequence AA517451	BG081889 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081889>	Rasa2	35647	114713	
2373	GRID- 108-R5C2	Transcribed sequences		ESTs	BG069229 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069229>		26113	-	
2374	GRID- 108-R5C3		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG069604 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069604>		no value	-	
2375	GRID- 108-R5C4	Similar to PRAMEl4 (LOC384075), mRNA		expressed sequence C79430	BG070047 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070047>		21737	97157	
